Position 1,Position 2,Position1 (Num),Position2 (Num),Euc Distance,Euclid S/L,Euclid S/M/L,Path Distance,Path S/L,Path S/M/L,Num Nodes,Nodes S/L,Nodes S/M/L,Num Nodes + Turns (button presses),Press S/L,Press S/M/L
L,P,12,16,2.263846285,S,S,22.5,L,M,6,S,M,10,L,M
P,L,16,12,2.263846285,S,S,22.5,L,M,6,S,M,10,L,M
W,Y,23,22,4,S,S,14.5,S,S,5,S,S,7,S,S
Y,W,22,23,4,S,S,14.5,S,S,5,S,S,8,S,S
K,I,11,9,4.74341649,S,S,12.5,S,S,4,S,S,7,S,S
I,K,9,11,4.74341649,S,S,12.5,S,S,4,S,S,8,S,S
K,O,11,15,5.024937811,S,S,18.5,S,M,5,S,S,9,S,M
O,K,15,11,5.024937811,S,S,18.5,S,M,5,S,S,9,S,M
O,I,15,9,5.315072906,S,S,18,S,M,5,S,S,8,S,S
I,O,9,15,5.315072906,S,S,18,S,M,5,S,S,9,S,M
O,N,15,14,5.385164807,S,S,16,S,S,4,S,S,7,S,S
N,O,14,15,5.385164807,S,S,16,S,S,4,S,S,8,S,S
K,N,11,14,5.408326913,S,S,17.5,S,S,5,S,S,8,S,S
I,L,9,12,5.408326913,S,S,13.5,S,S,5,S,S,9,S,M
N,K,14,11,5.408326913,S,S,17.5,S,S,5,S,S,9,S,M
L,I,12,9,5.408326913,S,S,13.5,S,S,5,S,S,10,L,M
A,L,1,12,6.08276253,S,S,6,S,S,2,S,S,3,S,S
L,A,12,1,6.08276253,S,S,6,S,S,2,S,S,3,S,S
A,I,1,9,6.264982043,S,S,12,S,S,5,S,S,10,L,M
I,A,9,1,6.264982043,S,S,12,S,S,5,S,S,10,L,M
I,P,9,16,7.079901129,S,S,22.5,L,M,7,L,M,11,L,M
P,I,16,9,7.079901129,S,S,22.5,L,M,7,L,M,11,L,M
O,W,15,23,7.25,S,S,17.75,S,S,5,S,S,9,S,M
W,O,23,15,7.25,S,S,17.75,S,S,5,S,S,9,S,M
P,Y,16,22,7.267220927,S,S,10.25,S,S,3,S,S,6,S,S
Y,P,22,16,7.267220927,S,S,10.25,S,S,3,S,S,6,S,S
O,Y,15,22,8.280247581,S,M,25.25,L,L,8,L,L,14,L,L
